author,papers_with_chris,total_papers,theme
"Schwartz, M. W.",2,2,Predators & invasives
"Schütz, M.",2,2,Vegetation & plant ecology
"Silcock, J.",2,2,Dasyurids & marsupials
"Smith, G. T.",2,2,Arid zone ecology
"Smith, M. D.",2,2,Vegetation & plant ecology
"Smyth, A. K.",2,2,Threatened species & conservation
"Sonnier, G.",2,2,Vegetation & plant ecology
"Soulé, M. E.",2,2,Predators & invasives
"Sparrow, E. E.",2,2,Predators & invasives
"Spencer, P. B. S.",2,2,Dasyurids & marsupials
"Spohn, M.",2,2,Vegetation & plant ecology
"Squeo, F. A.",2,2,Arid zone ecology
"Standish, R. J.",2,2,Vegetation & plant ecology
"Stannard, H. J.",2,2,Dasyurids & marsupials
"Stapp, P.",2,2,Arid zone ecology
"Stephens, D.",2,2,Predators & invasives
"Stepkovitch, B.",2,2,Predators & invasives
"Story, G.",2,2,Predators & invasives
"Story, P.",2,2,Predators & invasives
"Stringer, E. J.",2,2,Arid zone ecology
"Sumner, J.",2,2,Dasyurids & marsupials
"Sutherland, E. F.",2,2,Threatened species & conservation
"Taggart, D. A.",2,2,Dasyurids & marsupials
"Tarszisz, E.",2,2,Threatened species & conservation
"Tasker, E. M.",2,2,Dasyurids & marsupials
"Thurgate, N.",2,2,Arid zone ecology
"Tulloch, V.",2,2,Threatened species & conservation
"Turak, E.",2,2,Threatened species & conservation
"Valentine, L.",2,2,Threatened species & conservation
"Vandersteen, J.",2,2,Predators & invasives
"Vardon, M.",2,2,Threatened species & conservation
"Venterink, H. O.",2,2,Vegetation & plant ecology
"Visser, R. L.",2,2,Predators & invasives
"Welbergen, J. A.",2,2,Predators & invasives
"Westman, W.",2,2,Predators & invasives
"Wheeler, G. R.",2,2,Vegetation & plant ecology
"Wilfahrt, P. A.",2,2,Vegetation & plant ecology
"Williams, D.",2,2,Arid zone ecology
"Williams, R. L.",2,2,Predators & invasives
"Wilson, B. A.",2,2,Dasyurids & marsupials
"Withers, P. C.",2,2,Dasyurids & marsupials
"Young, A. L.",2,2,Vegetation & plant ecology
"van Heezik, Y.",2,2,Predators & invasives
"Abom, R.",1,1,Other
"Adam, P.",1,1,Other
"Adamczyk, S. M.",1,1,Arid zone ecology
"Adams, M.",1,1,Dasyurids & marsupials
"Adams, N. A.",1,1,Predators & invasives
"Adler, P. B.",1,1,Vegetation & plant ecology
"Alpers, D.",1,1,Dasyurids & marsupials
"Andersen, A.",1,1,Arid zone ecology
"Andreassen, H. P.",1,1,Dasyurids & marsupials
"Antonio, C.",1,1,Vegetation & plant ecology
"Archer, M.",1,1,Dasyurids & marsupials
"Archer-Lean, C.",1,1,Predators & invasives
"Argot, C.",1,1,Other
"Arkinstall, C.",1,1,Dasyurids & marsupials
"Armati, P. J.",1,1,Dasyurids & marsupials
"Armstrong, D.",1,1,Other
"Aubault, H.",1,1,Vegetation & plant ecology
"Baker, J.",1,1,Predators & invasives
"Bakker, E. S.",1,1,Vegetation & plant ecology
"Ball, D.",1,1,Other
"Barnett, G.",1,1,Threatened species & conservation
"Barton, K.",1,1,Arid zone ecology
"Bassett, S. M.",1,1,Other
"Batsuren, E.",1,1,Arid zone ecology
"Baverstock, P. R.",1,1,Dasyurids & marsupials
"Bayraktarov, E.",1,1,Threatened species & conservation
"Beatty, S. J.",1,1,Threatened species & conservation
"Bedoya-Pérez, M. A.",1,1,Arid zone ecology
"Behrendorff, L.",1,1,Predators & invasives
"Bell, P.",1,1,Predators & invasives
"Belliure, J.",1,1,Other
"Benshemesch, J.",1,1,Threatened species & conservation
"Benshemesh, J.",1,1,Predators & invasives
"Bergallo, H. G.",1,1,Other
"Biederman, L.",1,1,Vegetation & plant ecology
"Bino, G.",1,1,Threatened species & conservation
"Bird, D. M.",1,1,Other
"Blackwell, G. L.",1,1,Other
"Bladon, R. V.",1,1,Dasyurids & marsupials
"Blake, M. E.",1,1,Predators & invasives
"Blanchard, W.",1,1,Predators & invasives
"Blomberg, S. P.",1,1,Other
"Blowes, S. A.",1,1,Vegetation & plant ecology
"Boardman, W. S. J.",1,1,Other
"Boer, E. S.",1,1,Threatened species & conservation
"Boitani, L.",1,1,Other
"Bon, J.",1,1,Dasyurids & marsupials
"Bonnaud, E.",1,1,Predators & invasives
"Boonstra, R.",1,1,Predators & invasives
"Bossard, K.",1,1,Arid zone ecology
"Bourke, M.",1,1,Threatened species & conservation
"Bowd, E.",1,1,Threatened species & conservation
"Bower, D. S.",1,1,Threatened species & conservation
"Bowman, D.",1,1,Arid zone ecology
"Bradley, K.",1,1,Dasyurids & marsupials
"Bradshaw, S. D.",1,1,Dasyurids & marsupials
"Braithwaite, R. W.",1,1,Dasyurids & marsupials
"Breed, W. G.",1,1,Dasyurids & marsupials
"Brennan, K. E. C.",1,1,Threatened species & conservation
"Brereton, R. N.",1,1,Threatened species & conservation
"Brien, C. M.",1,1,Threatened species & conservation
"Brim-Box, J.",1,1,Predators & invasives
"Briscoe, N. J.",1,1,Threatened species & conservation
"Brooks, S. J.",1,1,Predators & invasives
"Broome, L.",1,1,Predators & invasives
"Broughton, S. K.",1,1,Dasyurids & marsupials
"Brown, A. H. D.",1,1,Vegetation & plant ecology
"Brown, J. S.",1,1,Arid zone ecology
"Brown, O.",1,1,Dasyurids & marsupials
"Bruschetti, M.",1,1,Vegetation & plant ecology
"Bruskotter, J.",1,1,Threatened species & conservation
"Bubela, T. M.",1,1,Predators & invasives
"Buckley, Y. M.",1,1,Vegetation & plant ecology
"Buckmaster, A. J.",1,1,Dasyurids & marsupials
"Burgman, M.",1,1,Threatened species & conservation
"Burns, P.",1,1,Arid zone ecology
"Butler, J. R. A.",1,1,Other
"Butt, N.",1,1,Threatened species & conservation
"Byrom, A. E.",1,1,Other
"Calvani, N. E. D.",1,1,Predators & invasives
"Campana, S.",1,1,Vegetation & plant ecology
"Cantlay, A. J.",1,1,Vegetation & plant ecology
"Cardillo, M.",1,1,Threatened species & conservation
"Cardoso, M. J.",1,1,Dasyurids & marsupials
"Carnes, K.",1,1,Other
"Carron, P. L.",1,1,Dasyurids & marsupials
"Cassano, C. R.",1,1,Other
"Castañeda, I.",1,1,Predators & invasives
"Ceballos, M. C.",1,1,Other
"Cejtin, M. R.",1,1,Threatened species & conservation
"Cerqueira, R.",1,1,Dasyurids & marsupials
"Chambers, L. K.",1,1,Dasyurids & marsupials
"Chaneton, E. J.",1,1,Vegetation & plant ecology
"Cherkassky, D.",1,1,Other
"Cherkassky, L.",1,1,Other
"Cherry, M. J.",1,1,Predators & invasives
"Christy, M. T.",1,1,Other
"Ciucci, P.",1,1,Other
"Clark, A. T.",1,1,Vegetation & plant ecology
"Cleary, G. P.",1,1,Other
"Cleland, E. E.",1,1,Vegetation & plant ecology
"Clemann, N.",1,1,Threatened species & conservation
"Clissold, F.",1,1,Other
"Cockburn, A.",1,1,Predators & invasives
"Coleman, L.",1,1,Vegetation & plant ecology
"Collier, N.",1,1,Predators & invasives
"Connell, G. W.",1,1,Other
"Conner, L. M.",1,1,Predators & invasives
"Conroy, G.",1,1,Predators & invasives
"Corcoran, E.",1,1,Dasyurids & marsupials
"Corey, B.",1,1,Predators & invasives
"Courchamp, F.",1,1,Predators & invasives
"Cox, W. G.",1,1,Predators & invasives
"Craig, M. D.",1,1,Threatened species & conservation
"Cripps, J. K.",1,1,Threatened species & conservation
"Cristescu, R.",1,1,Threatened species & conservation
"Croft, D. B.",1,1,Arid zone ecology
"Cronin, G. M.",1,1,Predators & invasives
"Crowther, T. W.",1,1,Vegetation & plant ecology
"Cullen, D.",1,1,Arid zone ecology
"Céré, J.",1,1,Arid zone ecology
"Daly, S. E. J.",1,1,Other
"Danks, M. A.",1,1,Other
"Davies, K.",1,1,Vegetation & plant ecology
"Davies, N.",1,1,Other
"Davies, V. T.",1,1,Arid zone ecology
"Davis, A. A.",1,1,Predators & invasives
"Davis, N. E.",1,1,Predators & invasives
"Davis, R. A.",1,1,Predators & invasives
"De La Mare, O.",1,1,Predators & invasives
"DeCrappeo, N. M.",1,1,Vegetation & plant ecology
"Deane, A. T.",1,1,Predators & invasives
"Decker, O.",1,1,Arid zone ecology
"Delany, M. J.",1,1,Predators & invasives
"Dickson, T. L.",1,1,Vegetation & plant ecology
"Doherty, M.",1,1,Threatened species & conservation
"Doherty, S.",1,1,Predators & invasives
"Donfrancesco, V.",1,1,Predators & invasives
"Dorfman, E. J.",1,1,Other
"Dormontt, E.",1,1,Other
